                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 2.4883,                 3.3714,                 1.7473,                 1.0676,                0.28932,                0.12259,                0.10966,                0.04684,                 0.2019,                0.10254,                0.07506,                0.02105,                 2.7577,                 3.5574,                 2.2203,                 1.1263,              0.0099149,              0.0099149,              0.0099149
                     46,                 2.4905,                 3.4186,                 1.8137,                 1.0464,                0.26677,                0.11951,                0.11053,                0.04483,                0.20103,                0.09406,                0.07138,                0.02143,                 2.7535,                 3.5864,                 2.2603,                 1.1188,              0.0099129,              0.0099129,              0.0099129
                     47,                 2.5318,                  3.419,                 1.8293,                 1.0358,                0.24506,                0.13724,                0.11057,                0.04341,                0.19316,                0.11257,                 0.0777,                0.02399,                   2.78,                 3.5998,                 2.1717,                 1.1236,              0.0099109,              0.0099109,              0.0099109
                     48,                 2.5463,                 3.4319,                 1.8083,                 1.0771,                0.25652,                0.12645,                0.10776,                0.04562,                0.18586,                0.10794,                0.07262,                0.02146,                 2.7137,                 3.5521,                 2.1895,                 1.1185,              0.0099089,              0.0099089,              0.0099089
                     49,                 2.4772,                 3.3188,                 1.7417,                 1.0548,                0.27029,                0.12722,                0.11112,                0.04754,                 0.1979,                0.10794,                0.07793,                0.02391,                 2.7294,                 3.5475,                 2.1723,                  1.118,              0.0099069,              0.0099069,              0.0099069
                     50,                 2.4514,                 3.3455,                 1.7613,                 1.0534,                0.23048,                0.13717,                0.11027,                0.04619,                0.18806,                0.11103,                0.07848,                0.02309,                 2.7256,                 3.5158,                 2.1644,                 1.1193,               0.009905,               0.009905,               0.009905
                     51,                 2.4421,                 3.2939,                 1.7003,                 1.0479,                0.23485,                0.14151,                0.11252,                 0.0457,                0.18985,                 0.1064,                0.07582,                0.02283,                 2.7581,                 3.6191,                 2.2473,                 1.1173,               0.009903,               0.009903,               0.009903
                     52,                 2.3761,                 3.2814,                  1.621,                  1.039,                0.23059,                0.13107,                0.10683,                0.04421,                0.15817,                0.09715,                0.06192,                0.01825,                 2.8343,                 3.6683,                 2.2711,                 1.1234,               0.009901,               0.009901,               0.009901
                     53,                  2.342,                 3.2428,                 1.6879,                 1.0218,                 0.2221,                0.12028,                0.09876,                0.03934,                0.15423,                0.09561,                0.05773,                0.01712,                 2.8359,                 3.7058,                  2.304,                 1.1228,               0.009899,               0.009899,               0.009899
                     54,                 2.3112,                 3.3093,                 1.5977,                   1.03,                0.22528,                0.11874,                0.09321,                0.03589,                0.15908,                0.09175,                0.05392,                0.01858,                 2.9177,                 3.7499,                 2.3964,                 1.1337,               0.009897,               0.009897,               0.009897
